1 1 0 1 0 00000000000000000000000000000000 00000000000000000000000000000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU U
1 1 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 01000000000011011000000000000000 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000100 00010010000000000000000000010001 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001000 01000000000011001000000000000000 1
1 0 0 1 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001100 01000000000011011000100000000000 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000000000 0
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001001000 00000000000000000000000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001001100 00000000001000010000100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001010000 00000000010000100001000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001010100 00000000011000110001100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001011000 00000000100001000010000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001011100 00000000101001010010100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100000 00000000110001100011000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100100 00000000111001110011100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001101000 00000001000010000100000000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001101100 00000001001010010100100000100110 1
1 0 0 0 0 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001110000 00000001010010100101000000100110 1
